ID,age1,age2,GF1,GF2,GAK1,GAK2,Female,GC1,GC2,GQ1,GQ2
4252,17,18,503.5,511,511,516,1,519,528,528,545
4266,3,3.75,,,443,441.33,1,,,408,402
4269,4,7.75,,511.5,459.33,478,1,,484,437,481
4270,4,7.25,,491.5,423,480.67,0,,484,423,476
4271,3,3.58,,,443,435.33,0,,,413,413
4276,18,19.08,486.5,491.5,490,491.67,0,470,482,481,497
4280,4,4.17,,,443.67,453,0,,,418,428
4286,3,5.83,,465.5,444.67,473.33,0,,466,418,442
4287,4,4.92,,,451.33,454.67,0,,,428,461
4288,4,7.25,,489.5,457.67,481,1,,478,423,452
4291,3,3.42,,,432.33,437,1,,,402,413
4292,4,7.42,,491,431.67,474.67,0,,481,397,461
4293,4,7.08,,478,445.33,485.33,1,,478,418,486
4294,4,4.75,,,453,457,1,,,423,433
4311,4,4.33,,,447.33,444.67,1,,,408,413
4322,9,9.67,498.5,516,492,493.67,1,482,482,492,502
4329,4,4.83,,460,476.33,481,0,,486,428,433
4340,19,20,525.5,524.5,550,550.33,0,546,546,561,551
4345,3,4,,,441,432.33,1,,,402,413
4348,3,3.67,,,437,441,1,,,372,408
4353,3,6.58,,461,423,468.67,0,,466,402,433
4357,17,17.67,506.5,471,511.33,513,1,503,519,507,502
4360,3,3.75,,,447,453.33,1,,,423,428
4366,3,3.67,,,451.33,453,1,,,423,437
4378,19,19.5,450.5,468.5,483.67,482.33,0,493,493,476,466
4396,20,20.5,480.5,494,509.67,514.67,1,519,528,517,507
4400,4,5,,,434.33,439.33,0,,,408,413
4416,12,12.17,517.5,506.5,519.33,535,0,513,519,512,522
4417,13,13.58,523,523,509.67,514.67,1,516,510,512,539
4421,13,13.75,534.5,521.5,523.33,529.67,1,528,531,534,534
4432,16,19.83,507,525,529.33,536,1,516,532,522,517
4438,20,20.92,521.5,521.5,527.67,534.33,0,528,531,528,528
4439,19,19.33,521.5,525,547.33,552,0,540,546,572,577
4453,11,11.75,503,516,501,511,1,507,507,497,507
4457,18,19.08,483,497,518,524.33,1,516,519,512,512
4470,4,7.75,,498.5,466.67,496,0,,481,437,486
4473,20,20.33,511.5,512,519.33,526,0,522,522,522,528
4475,19,19.58,532.5,538.5,541.67,539.67,0,549,553,545,539
4479,9,10.92,481.5,482.5,475,481.33,0,489,493,452,456
4481,19,22.33,512,500,514.67,509.33,1,507,512,497,507
4490,4,4.83,,,442.67,453,1,,,413,408
4491,4,6.83,,449.5,406.67,443,0,,453,358,428
4494,13,13.5,514.5,516,516.33,524.33,1,513,513,517,522
4498,4,7,,467.5,452.67,491.33,0,,460,418,456
4504,14,15.17,486,490,505,507.67,1,507,531,502,522
4512,18,19,508.5,501.5,507,504.67,1,513,516,512,507
4519,18,18.67,521.5,507.5,528.33,531.33,1,522,534,539,545
4526,16,19.92,508.5,508,504.33,504.33,1,493,516,512,512
4537,4,7.17,,461,441,462,1,,460,413,452
4538,4,6.92,,485.5,463.33,498,1,,478,428,461
4539,4,6.83,,503.5,437,521.67,0,,532,397,528
4543,18,18.83,485,502,529,524.67,0,528,534,551,556
4544,18,18.75,512,508,524.67,529.33,0,531,525,534,539
4551,20,27.08,513.5,515.5,513,522.67,0,522,525,534,528
4577,16,17.08,509.5,517.5,514.33,524.67,1,513,516,492,534
4578,12,13.17,520.5,513,519.67,523,1,513,513,497,512
4579,9,9.67,491.5,497,457.67,464.33,0,473,467,461,476
4580,8,9,493,496,476.33,477.67,0,476,476,471,492
4581,10,11.08,499,484.5,472,481.33,0,486,479,487,471
4582,7,7.5,471,480,448,454.33,0,461,458,456,447
4601,3,3.58,,,429,440.33,1,,,413,423
4610,20,21.08,509,515.5,532.67,538,0,546,560,534,539
4612,20,20.33,521.5,531,553.33,553,0,553,556,561,551
4614,20,21.08,524,527,535,533,0,543,540,539,545
4615,20,20.17,489,490,524.33,528,0,522,528,507,507
4621,15,15.58,488.5,498,491.67,491.33,0,486,479,502,497
4635,19,19.83,496.5,509,531.33,541.67,1,531,537,512,507
4650,3,3.17,,,403.67,415.33,1,,,386,
4652,3,6.33,,480.5,422.67,481,1,,450,413,437
4653,18,21.58,480.5,509,525,526.33,1,546,545,497,512
4667,16,19.17,553.5,531,543.67,535,0,549,542,539,528
4670,17,17.92,491.5,491.5,496.33,494.67,0,510,510,522,517
4684,6,8.58,441.5,502.5,437.67,478,1,427,478,418,471
4687,4,5,,,451.33,462,0,,,433,433
